date,idx,opt_type,strike,expiry,dte,lot,instrument_key,spot_1515,entry_1515,p_1530,p_1536,p_close,hi_window,lo_window,pnl_1530,pnl_1536,pnl_close,vol_1515_1530,vol_post_1530,last_print,src,recorded_at
2026-08-03,NIFTY,CE,24550.0,2026-08-04,1,65,NSE_FO|65867|04-08-2026,24573.35,70.8,70.75,80.8,78.34,85.0,60.75,-3.25,650.0,490.1,15130570.0,8665865.0,15:39:00,expired-api,2026-08-05T16:17:10+05:30
2026-08-03,NIFTY,PE,24550.0,2026-08-04,1,65,NSE_FO|65868|04-08-2026,24573.35,51.05,36.7,38.75,38.4,52.35,30.4,-932.75,-799.5,-822.25,24590150.0,10457720.0,15:39:00,expired-api,2026-08-05T16:17:10+05:30
2026-08-03,SENSEX,CE,78700.0,2026-08-06,3,20,BSE_FO|840209,78677.13,343.8,340.5,361.8,339.25,364.65,320.35,-66.0,360.0,-91.0,687040.0,334120.0,15:39:00,historical,2026-08-05T16:17:10+05:30
2026-08-03,SENSEX,PE,78700.0,2026-08-06,3,20,BSE_FO|840325,78677.13,339.45,301.5,313.75,318.8,346.2,285.0,-759.0,-514.0,-413.0,727040.0,355200.0,15:39:00,historical,2026-08-05T16:17:10+05:30
2026-08-04,NIFTY,CE,24450.0,2026-08-04,0,65,NSE_FO|65858|04-08-2026,24463.45,75.55,162.94,164.65,164.85,167.65,58.35,5680.35,5791.5,5804.5,42781375.0,1611285.0,15:39:00,expired-api,2026-08-06T01:54:26+05:30
2026-08-04,NIFTY,PE,24450.0,2026-08-04,0,65,NSE_FO|65859|04-08-2026,24463.45,33.95,0.2,0.15,0.1,35.0,0.05,-2193.75,-2197.0,-2200.25,103223185.0,26917670.0,15:39:00,expired-api,2026-08-06T01:54:26+05:30
2026-08-04,SENSEX,CE,78300.0,2026-08-06,2,20,BSE_FO|840140,78324.56,384.35,384.55,371.75,363.9,405.0,357.0,4.0,-252.0,-409.0,911560.0,256400.0,15:39:00,historical,2026-08-06T01:54:26+05:30
2026-08-04,SENSEX,PE,78300.0,2026-08-06,2,20,BSE_FO|840267,78324.56,274.15,250.55,274.8,273.4,282.7,240.7,-472.0,13.0,-15.0,956540.0,327040.0,15:39:00,historical,2026-08-06T01:54:27+05:30
2026-08-05,NIFTY,CE,24550.0,2026-08-11,6,65,NSE_FO|41013,24570.2,179.2,169.05,161.35,158.05,189.95,136.0,-659.75,-1160.25,-1374.75,5570175.0,1126775.0,15:39:00,intraday,2026-08-05T16:20:03+05:30
2026-08-05,NIFTY,PE,24550.0,2026-08-11,6,65,NSE_FO|41014,24570.2,109.55,105.8,114.7,116.0,129.95,96.1,-243.75,334.75,419.25,5075655.0,1237340.0,15:39:00,intraday,2026-08-05T16:20:03+05:30
2026-08-05,SENSEX,CE,78500.0,2026-08-06,1,20,BSE_FO|840175,78501.85,379.5,318.55,300.45,281.5,413.95,191.65,-1219.0,-1581.0,-1960.0,5890740.0,1738940.0,15:39:00,intraday,2026-08-05T16:20:03+05:30
2026-08-05,SENSEX,PE,78500.0,2026-08-06,1,20,BSE_FO|840297,78501.85,250.0,233.6,273.6,274.9,307.75,208.85,-328.0,472.0,498.0,4527420.0,1716040.0,15:39:00,intraday,2026-08-05T16:20:03+05:30
2026-08-06,NIFTY,CE,24650.0,2026-08-11,5,65,NSE_FO|41017,24627.95,147.15,143.7,141.65,142.4,150.0,138.75,-224.25,-357.5,-308.75,4037605.0,2143765.0,15:39:00,intraday,2026-08-06T16:20:04+05:30
2026-08-06,NIFTY,PE,24650.0,2026-08-11,5,65,NSE_FO|41019,24627.95,109.15,104.35,104.55,107.45,112.5,99.0,-312.0,-299.0,-110.5,4066205.0,1895465.0,15:39:00,intraday,2026-08-06T16:20:04+05:30
2026-08-06,SENSEX,CE,78800.0,2026-08-06,0,20,BSE_FO|840680,78785.62,298.15,156.9,154.7,154.5,516.2,114.45,-2825.0,-2869.0,-2873.0,15035320.0,1619840.0,15:39:00,intraday,2026-08-06T16:20:04+05:30
2026-08-06,SENSEX,PE,78800.0,2026-08-06,0,20,BSE_FO|840193,78785.62,207.25,0.95,0.05,0.05,219.65,0.05,-4126.0,-4144.0,-4144.0,33957260.0,10663340.0,15:39:00,intraday,2026-08-06T16:20:04+05:30
2026-08-07,NIFTY,CE,24550.0,2026-08-11,4,65,NSE_FO|41013,24557.0,142.2,135.95,135.25,137.0,146.6,130.55,-406.25,-451.75,-338.0,7043660.0,3048955.0,15:39:00,intraday,2026-08-07T16:20:05+05:30
